areaType,areaName,y,date,new2ndvaccs,cum2ndvac,new1stvaccs,cum1stvac
overview,United Kingdom,1,11/01/2021,20768,412167,145076,2431648
overview,United Kingdom,2,12/01/2021,16065,428232,207661,2639309
overview,United Kingdom,3,13/01/2021,9745,437977,278943,2918252
overview,United Kingdom,4,14/01/2021,5257,443234,316694,3234946
overview,United Kingdom,5,15/01/2021,4208,447442,341317,3576263
overview,United Kingdom,6,16/01/2021,2620,450062,296131,3872394
overview,United Kingdom,7,17/01/2021,2239,452301,190107,4062501
overview,United Kingdom,8,18/01/2021,4565,456866,204076,4266577
overview,United Kingdom,9,19/01/2021,3759,460625,343163,4609740
overview,United Kingdom,10,20/01/2021,3411,464036,363508,4973248
overview,United Kingdom,11,21/01/2021,2760,466796,409855,5383103
overview,United Kingdom,12,22/01/2021,1821,468617,478248,5861351
overview,United Kingdom,13,23/01/2021,1043,469660,491970,6353321
overview,United Kingdom,14,24/01/2021,818,470478,220249,6573570
overview,United Kingdom,15,25/01/2021,1968,472446,279757,6853327
overview,United Kingdom,16,26/01/2021,1710,474156,311060,7164387
overview,United Kingdom,17,27/01/2021,2329,476485,312378,7476765
overview,United Kingdom,18,28/01/2021,1769,478254,414419,7891184
overview,United Kingdom,19,29/01/2021,2178,480432,487756,8378940
overview,United Kingdom,20,30/01/2021,10621,491053,598389,8977329
overview,United Kingdom,21,31/01/2021,3156,494209,319038,9296367
overview,United Kingdom,22,01/02/2021,2587,496796,350348,9646715
overview,United Kingdom,23,02/02/2021,2166,498962,374756,10021471
overview,United Kingdom,24,03/02/2021,2995,501957,469016,10490487
overview,United Kingdom,25,04/02/2021,4036,505993,480560,10971047
overview,United Kingdom,26,05/02/2021,4064,510057,494163,11465210
overview,United Kingdom,27,06/02/2021,1662,511719,549808,12015018
overview,United Kingdom,28,07/02/2021,862,512581,278988,12294006
overview,United Kingdom,29,08/02/2021,3811,516392,352480,12646486
overview,United Kingdom,30,09/02/2021,3161,519553,411812,13058298
overview,United Kingdom,31,10/02/2021,4894,524447,450810,13509108
overview,United Kingdom,32,11/02/2021,5647,530094,503116,14012224
overview,United Kingdom,33,12/02/2021,4775,534869,544603,14556827
overview,United Kingdom,34,13/02/2021,2846,537715,505362,15062189
overview,United Kingdom,35,14/02/2021,1915,539630,237962,15300151
overview,United Kingdom,36,15/02/2021,6535,546165,275956,15576107
overview,United Kingdom,37,16/02/2021,12412,558577,364865,15940972
overview,United Kingdom,38,17/02/2021,15147,573724,482110,16423082
overview,United Kingdom,39,18/02/2021,15867,589591,452454,16875536
overview,United Kingdom,40,19/02/2021,15294,604885,371906,17247442
overview,United Kingdom,41,20/02/2021,10263,615148,334679,17582121
overview,United Kingdom,42,21/02/2021,9177,624325,141719,17723840
overview,United Kingdom,43,22/02/2021,18463,642788,192341,17916181
overview,United Kingdom,44,23/02/2021,26317,669105,326692,18242873
overview,United Kingdom,45,24/02/2021,31613,700718,448962,18691835
