y,date,Deaths,logdeaths,Cases,vaccinations
1,08/03/2020,3,0.477121255,57,0
2,09/03/2020,5,0.698970004,147,0
3,10/03/2020,3,0.477121255,265,0
4,11/03/2020,8,0.903089987,405,0
5,12/03/2020,13,1.113943352,481,0
6,13/03/2020,16,1.204119983,479,0
7,14/03/2020,22,1.342422681,363,0
8,15/03/2020,32,1.505149978,442,0
9,16/03/2020,47,1.672097858,610,0
10,17/03/2020,52,1.716003344,768,0
11,18/03/2020,68,1.832508913,999,0
12,19/03/2020,74,1.86923172,1051,0
13,20/03/2020,109,2.037426498,1261,0
14,21/03/2020,130,2.113943352,1192,0
15,22/03/2020,164,2.214843848,1374,0
16,23/03/2020,186,2.269512944,2321,0
17,24/03/2020,237,2.374748346,2372,0
18,25/03/2020,303,2.481442629,2690,0
19,26/03/2020,362,2.558708571,3083,0
20,27/03/2020,398,2.599883072,3185,0
21,28/03/2020,436,2.639486489,2817,0
22,29/03/2020,506,2.704150517,2852,0
23,30/03/2020,592,2.772321707,4261,0
24,31/03/2020,660,2.819543936,4512,0
25,01/04/2020,769,2.88592634,4932,0
26,02/04/2020,806,2.906335042,4860,0
27,03/04/2020,840,2.924279286,4893,0
28,04/04/2020,907,2.957607287,4011,0
29,05/04/2020,917,2.962369336,3583,0
30,06/04/2020,895,2.951823035,5261,0
31,07/04/2020,999,2.999565488,5430,0
32,08/04/2020,1075,3.031408464,5120,0
33,09/04/2020,1000,3,4851,0
34,10/04/2020,944,2.974971994,4308,0
35,11/04/2020,957,2.980911938,3555,0
36,12/04/2020,958,2.981365509,3478,0
37,13/04/2020,896,2.95230801,4170,0
38,14/04/2020,858,2.933487288,4301,0
39,15/04/2020,878,2.943494516,5035,0
40,16/04/2020,844,2.926342447,5277,0
41,17/04/2020,819,2.913283902,4936,0
42,18/04/2020,800,2.903089987,4700,0
43,19/04/2020,769,2.88592634,3848,0
44,20/04/2020,783,2.893761762,4421,0
45,21/04/2020,744,2.871572936,4765,0
46,22/04/2020,731,2.863917377,5484,0
47,23/04/2020,677,2.830588669,5146,0
48,24/04/2020,683,2.834420704,4950,0
49,25/04/2020,647,2.810904281,3742,0
50,26/04/2020,633,2.80140371,3469,0
51,27/04/2020,595,2.774516966,4704,0
52,28/04/2020,561,2.748962861,4714,0
53,29/04/2020,572,2.757396029,5427,0
54,30/04/2020,551,2.741151599,4954,0
55,01/05/2020,568,2.754348336,4730,0
56,02/05/2020,494,2.693726949,3235,0
57,03/05/2020,450,2.653212514,2984,0
58,04/05/2020,484,2.684845362,3386,0
59,05/05/2020,465,2.667452953,3672,0
60,06/05/2020,459,2.661812686,3819,0
61,07/05/2020,461,2.663700925,3775,0
62,08/05/2020,383,2.583198774,3065,0
63,09/05/2020,378,2.5774918,2164,0
64,10/05/2020,348,2.541579244,2322,0
65,11/05/2020,309,2.489958479,3577,0
66,12/05/2020,321,2.506505032,3389,0
67,13/05/2020,317,2.501059262,3309,0
68,14/05/2020,334,2.523746467,2625,0
69,15/05/2020,314,2.496929648,2525,0
70,16/05/2020,314,2.496929648,2075,0
71,17/05/2020,267,2.426511261,1833,0
72,18/05/2020,293,2.46686762,2574,0
73,19/05/2020,275,2.439332694,3052,0
74,20/05/2020,268,2.428134794,2703,0
75,21/05/2020,238,2.376576957,2566,0
76,22/05/2020,223,2.348304863,2052,0
77,23/05/2020,220,2.342422681,1527,0
78,24/05/2020,196,2.292256071,1365,0
79,25/05/2020,200,2.301029996,1617,0
80,26/05/2020,214,2.330413773,2057,0
81,27/05/2020,196,2.292256071,1827,0
82,28/05/2020,217,2.336459734,1754,0
83,29/05/2020,186,2.269512944,1527,0
84,30/05/2020,163,2.212187604,1118,0
85,31/05/2020,126,2.100370545,1081,0
86,01/06/2020,135,2.130333768,1438,0
87,02/06/2020,168,2.225309282,1487,0
88,03/06/2020,155,2.190331698,1359,0
89,04/06/2020,134,2.127104798,1251,0
90,05/06/2020,123,2.089905111,1125,0
91,06/06/2020,110,2.041392685,807,0
92,07/06/2020,128,2.10720997,722,0
93,08/06/2020,125,2.096910013,1095,0
94,09/06/2020,90,1.954242509,1155,0
95,10/06/2020,109,2.037426498,1192,0
96,11/06/2020,80,1.903089987,1009,0
97,12/06/2020,80,1.903089987,1059,0
98,13/06/2020,62,1.792391689,891,0
99,14/06/2020,86,1.934498451,819,0
100,15/06/2020,70,1.84509804,1043,0
101,16/06/2020,84,1.924279286,1102,0
102,17/06/2020,59,1.770852012,1012,0
103,18/06/2020,61,1.785329835,1026,0
104,19/06/2020,52,1.716003344,996,0
105,20/06/2020,60,1.77815125,686,0
106,21/06/2020,54,1.73239376,637,0
107,22/06/2020,64,1.806179974,895,0
108,23/06/2020,64,1.806179974,890,0
109,24/06/2020,74,1.86923172,775,0
110,25/06/2020,68,1.832508913,720,0
111,26/06/2020,41,1.612783857,669,0
112,27/06/2020,49,1.69019608,652,0
113,28/06/2020,45,1.653212514,446,0
114,29/06/2020,39,1.591064607,728,0
115,30/06/2020,47,1.672097858,617,0
116,01/07/2020,27,1.431363764,659,0
117,02/07/2020,43,1.633468456,608,0
118,03/07/2020,29,1.462397998,574,0
119,04/07/2020,33,1.51851394,401,0
120,05/07/2020,27,1.431363764,557,0
121,06/07/2020,35,1.544068044,705,0
122,07/07/2020,27,1.431363764,603,0
123,08/07/2020,24,1.380211242,702,0
124,09/07/2020,37,1.568201724,719,0
125,10/07/2020,21,1.322219295,564,0
126,11/07/2020,21,1.322219295,446,0
127,12/07/2020,13,1.113943352,369,0
128,13/07/2020,24,1.380211242,734,0
129,14/07/2020,21,1.322219295,691,0
130,15/07/2020,20,1.301029996,772,0
131,16/07/2020,13,1.113943352,706,0
132,17/07/2020,18,1.255272505,581,0
133,18/07/2020,14,1.146128036,498,0
134,19/07/2020,14,1.146128036,445,0
135,20/07/2020,12,1.079181246,812,0
136,21/07/2020,20,1.301029996,782,0
137,22/07/2020,17,1.230448921,796,0
138,23/07/2020,16,1.204119983,796,0
139,24/07/2020,7,0.84509804,773,0
140,25/07/2020,16,1.204119983,524,0
141,26/07/2020,16,1.204119983,558,0
142,27/07/2020,11,1.041392685,856,0
143,28/07/2020,12,1.079181246,841,0
144,29/07/2020,12,1.079181246,1038,0
145,30/07/2020,10,1,925,0
146,31/07/2020,14,1.146128036,676,0
147,01/08/2020,11,1.041392685,542,0
148,02/08/2020,10,1,554,0
149,03/08/2020,15,1.176091259,1038,0
150,04/08/2020,14,1.146128036,1018,0
151,05/08/2020,6,0.77815125,1057,0
152,06/08/2020,9,0.954242509,1082,0
153,07/08/2020,12,1.079181246,942,0
154,08/08/2020,14,1.146128036,696,0
155,09/08/2020,8,0.903089987,614,0
156,10/08/2020,13,1.113943352,1470,0
157,11/08/2020,10,1,1340,0
158,12/08/2020,7,0.84509804,1206,0
159,13/08/2020,9,0.954242509,1140,0
160,14/08/2020,7,0.84509804,1162,0
161,15/08/2020,12,1.079181246,695,0
162,16/08/2020,4,0.602059991,597,0
163,17/08/2020,12,1.079181246,1279,0
164,18/08/2020,9,0.954242509,1082,0
165,19/08/2020,3,0.477121255,1240,0
166,20/08/2020,8,0.903089987,1460,0
167,21/08/2020,7,0.84509804,1198,0
168,22/08/2020,8,0.903089987,824,0
169,23/08/2020,14,1.146128036,824,0
170,24/08/2020,6,0.77815125,1275,0
171,25/08/2020,12,1.079181246,1246,0
172,26/08/2020,11,1.041392685,1348,0
173,27/08/2020,8,0.903089987,1551,0
174,28/08/2020,10,1,1624,0
175,29/08/2020,5,0.698970004,1222,0
176,30/08/2020,6,0.77815125,1160,0
177,31/08/2020,9,0.954242509,1501,0
178,01/09/2020,3,0.477121255,2248,0
179,02/09/2020,9,0.954242509,2991,0
180,03/09/2020,10,1,3094,0
181,04/09/2020,7,0.84509804,3037,0
182,05/09/2020,13,1.113943352,2543,0
183,06/09/2020,8,0.903089987,2442,0
184,07/09/2020,15,1.176091259,3862,0
185,08/09/2020,9,0.954242509,3300,0
186,09/09/2020,9,0.954242509,3328,0
187,10/09/2020,13,1.113943352,3577,0
188,11/09/2020,13,1.113943352,3285,0
189,12/09/2020,18,1.255272505,2656,0
190,13/09/2020,16,1.204119983,2129,0
191,14/09/2020,21,1.322219295,3383,0
192,15/09/2020,18,1.255272505,3538,0
193,16/09/2020,26,1.414973348,4346,0
194,17/09/2020,27,1.431363764,4620,0
195,18/09/2020,24,1.380211242,4956,0
196,19/09/2020,20,1.301029996,4850,0
197,20/09/2020,32,1.505149978,5314,0
198,21/09/2020,27,1.431363764,5600,0
199,22/09/2020,39,1.591064607,6399,0
200,23/09/2020,57,1.755874856,7053,0
201,24/09/2020,35,1.544068044,7599,0
202,25/09/2020,32,1.505149978,7238,0
203,26/09/2020,39,1.591064607,6750,0
204,27/09/2020,47,1.672097858,6968,0
205,28/09/2020,54,1.73239376,9922,0
206,29/09/2020,48,1.681241237,10232,0
207,30/09/2020,57,1.755874856,12556,0
208,01/10/2020,66,1.819543936,13184,0
209,02/10/2020,69,1.838849091,13687,0
210,03/10/2020,67,1.826074803,11531,0
211,04/10/2020,60,1.77815125,11801,0
212,05/10/2020,72,1.857332496,16545,0
213,06/10/2020,71,1.851258349,17052,0
214,07/10/2020,102,2.008600172,18317,0
215,08/10/2020,93,1.968482949,18234,0
216,09/10/2020,79,1.897627091,15716,0
217,10/10/2020,104,2.017033339,12504,0
218,11/10/2020,124,2.093421685,12066,0
219,12/10/2020,113,2.053078443,19427,0
220,13/10/2020,111,2.045322979,18881,0
221,14/10/2020,116,2.064457989,19693,0
222,15/10/2020,151,2.178976947,18429,0
223,16/10/2020,150,2.176091259,17715,0
224,17/10/2020,178,2.250420002,14750,0
225,18/10/2020,160,2.204119983,14193,0
226,19/10/2020,192,2.283301229,25604,0
227,20/10/2020,197,2.294466226,25322,0
228,21/10/2020,221,2.344392274,25438,0
229,22/10/2020,236,2.372912003,23233,0
230,23/10/2020,223,2.348304863,21460,0
231,24/10/2020,214,2.330413773,16229,0
232,25/10/2020,251,2.399673721,15719,0
233,26/10/2020,278,2.444044796,26538,0
234,27/10/2020,266,2.424881637,24087,0
235,28/10/2020,287,2.457881897,23605,0
236,29/10/2020,313,2.495544338,23349,0
237,30/10/2020,339,2.530199698,22655,0
238,31/10/2020,319,2.503790683,16477,0
239,01/11/2020,359,2.555094449,15747,0
