y,date,Deaths,Cases,vaccinations
1,30/01/2020,0,2,0
2,31/01/2020,0,0,0
3,01/02/2020,0,0,0
4,02/02/2020,0,0,0
5,03/02/2020,0,0,0
6,04/02/2020,0,0,0
7,05/02/2020,0,1,0
8,06/02/2020,0,0,0
9,07/02/2020,0,0,0
10,08/02/2020,0,4,0
11,09/02/2020,0,1,0
12,10/02/2020,0,0,0
13,11/02/2020,0,1,0
14,12/02/2020,0,0,0
15,13/02/2020,0,0,0
16,14/02/2020,0,0,0
17,15/02/2020,0,0,0
18,16/02/2020,0,0,0
19,17/02/2020,0,0,0
20,18/02/2020,0,0,0
21,19/02/2020,0,0,0
22,20/02/2020,0,0,0
23,21/02/2020,0,1,0
24,22/02/2020,0,0,0
25,23/02/2020,0,1,0
26,24/02/2020,0,2,0
27,25/02/2020,0,5,0
28,26/02/2020,0,4,0
29,27/02/2020,0,8,0
30,28/02/2020,0,12,0
31,29/02/2020,0,5,0
32,01/03/2020,0,22,0
33,02/03/2020,1,39,0
34,03/03/2020,2,56,0
35,04/03/2020,0,56,0
36,05/03/2020,3,50,0
37,06/03/2020,0,81,0
38,07/03/2020,0,67,0
39,08/03/2020,3,57,0
40,09/03/2020,5,147,0
41,10/03/2020,3,265,0
42,11/03/2020,8,405,0
43,12/03/2020,13,481,0
44,13/03/2020,16,479,0
45,14/03/2020,22,363,0
46,15/03/2020,32,442,0
47,16/03/2020,47,610,0
48,17/03/2020,52,768,0
49,18/03/2020,68,999,0
50,19/03/2020,74,1051,0
51,20/03/2020,109,1261,0
52,21/03/2020,130,1192,0
53,22/03/2020,164,1374,0
54,23/03/2020,186,2321,0
55,24/03/2020,237,2372,0
56,25/03/2020,303,2690,0
57,26/03/2020,362,3083,0
58,27/03/2020,398,3185,0
59,28/03/2020,436,2817,0
60,29/03/2020,506,2852,0
61,30/03/2020,592,4261,0
62,31/03/2020,660,4512,0
63,01/04/2020,769,4932,0
64,02/04/2020,806,4860,0
65,03/04/2020,840,4893,0
66,04/04/2020,907,4011,0
67,05/04/2020,917,3583,0
68,06/04/2020,895,5261,0
69,07/04/2020,999,5430,0
70,08/04/2020,1075,5120,0
71,09/04/2020,1000,4851,0
72,10/04/2020,944,4308,0
73,11/04/2020,957,3555,0
74,12/04/2020,958,3478,0
75,13/04/2020,896,4170,0
76,14/04/2020,858,4301,0
77,15/04/2020,878,5035,0
78,16/04/2020,844,5277,0
79,17/04/2020,819,4936,0
80,18/04/2020,800,4700,0
81,19/04/2020,769,3848,0
82,20/04/2020,783,4421,0
83,21/04/2020,744,4765,0
84,22/04/2020,731,5484,0
85,23/04/2020,677,5146,0
86,24/04/2020,683,4950,0
87,25/04/2020,647,3742,0
88,26/04/2020,633,3469,0
89,27/04/2020,595,4704,0
90,28/04/2020,561,4714,0
91,29/04/2020,572,5427,0
92,30/04/2020,551,4954,0
93,01/05/2020,568,4730,0
94,02/05/2020,494,3235,0
95,03/05/2020,450,2984,0
96,04/05/2020,484,3386,0
97,05/05/2020,465,3672,0
98,06/05/2020,459,3819,0
99,07/05/2020,461,3775,0
100,08/05/2020,383,3065,0
101,09/05/2020,378,2164,0
102,10/05/2020,348,2322,0
103,11/05/2020,309,3577,0
104,12/05/2020,321,3389,0
105,13/05/2020,317,3309,0
106,14/05/2020,334,2625,0
107,15/05/2020,314,2525,0
108,16/05/2020,314,2075,0
109,17/05/2020,267,1833,0
110,18/05/2020,293,2574,0
111,19/05/2020,275,3052,0
112,20/05/2020,268,2703,0
113,21/05/2020,238,2566,0
114,22/05/2020,223,2052,0
115,23/05/2020,220,1527,0
116,24/05/2020,196,1365,0
117,25/05/2020,200,1617,0
118,26/05/2020,214,2057,0
119,27/05/2020,196,1827,0
120,28/05/2020,217,1754,0
121,29/05/2020,186,1527,0
122,30/05/2020,163,1118,0
123,31/05/2020,126,1081,0
124,01/06/2020,135,1438,0
125,02/06/2020,168,1487,0
126,03/06/2020,155,1359,0
127,04/06/2020,134,1251,0
128,05/06/2020,123,1125,0
129,06/06/2020,110,807,0
130,07/06/2020,128,722,0
131,08/06/2020,125,1095,0
132,09/06/2020,90,1155,0
133,10/06/2020,109,1192,0
134,11/06/2020,80,1009,0
135,12/06/2020,80,1059,0
136,13/06/2020,62,891,0
137,14/06/2020,86,819,0
138,15/06/2020,70,1043,0
139,16/06/2020,84,1102,0
140,17/06/2020,59,1012,0
141,18/06/2020,61,1026,0
142,19/06/2020,52,996,0
143,20/06/2020,60,686,0
144,21/06/2020,54,637,0
145,22/06/2020,64,895,0
146,23/06/2020,64,890,0
147,24/06/2020,74,775,0
148,25/06/2020,68,720,0
149,26/06/2020,41,669,0
150,27/06/2020,49,652,0
151,28/06/2020,45,446,0
152,29/06/2020,39,728,0
153,30/06/2020,47,617,0
154,01/07/2020,27,659,0
155,02/07/2020,43,608,0
156,03/07/2020,29,574,0
157,04/07/2020,33,401,0
158,05/07/2020,27,557,0
159,06/07/2020,35,705,0
160,07/07/2020,27,603,0
161,08/07/2020,24,702,0
162,09/07/2020,37,719,0
163,10/07/2020,21,564,0
164,11/07/2020,21,446,0
165,12/07/2020,13,369,0
166,13/07/2020,24,734,0
167,14/07/2020,21,691,0
168,15/07/2020,20,772,0
169,16/07/2020,13,706,0
170,17/07/2020,18,581,0
171,18/07/2020,14,498,0
172,19/07/2020,14,445,0
173,20/07/2020,12,812,0
174,21/07/2020,20,782,0
175,22/07/2020,17,796,0
176,23/07/2020,16,796,0
177,24/07/2020,7,773,0
178,25/07/2020,16,524,0
179,26/07/2020,16,558,0
180,27/07/2020,11,856,0
181,28/07/2020,12,841,0
182,29/07/2020,12,1038,0
183,30/07/2020,10,925,0
184,31/07/2020,14,676,0
185,01/08/2020,11,542,0
186,02/08/2020,10,554,0
187,03/08/2020,15,1038,0
188,04/08/2020,14,1018,0
189,05/08/2020,6,1057,0
190,06/08/2020,9,1082,0
191,07/08/2020,12,942,0
192,08/08/2020,14,696,0
193,09/08/2020,8,614,0
194,10/08/2020,13,1470,0
195,11/08/2020,10,1340,0
196,12/08/2020,7,1206,0
197,13/08/2020,9,1140,0
198,14/08/2020,7,1162,0
199,15/08/2020,12,695,0
200,16/08/2020,4,597,0
201,17/08/2020,12,1279,0
202,18/08/2020,9,1082,0
203,19/08/2020,3,1240,0
204,20/08/2020,8,1460,0
205,21/08/2020,7,1198,0
206,22/08/2020,8,824,0
207,23/08/2020,14,824,0
208,24/08/2020,6,1275,0
209,25/08/2020,12,1246,0
210,26/08/2020,11,1348,0
211,27/08/2020,8,1551,0
212,28/08/2020,10,1624,0
213,29/08/2020,5,1222,0
214,30/08/2020,6,1160,0
215,31/08/2020,9,1501,0
216,01/09/2020,3,2248,0
217,02/09/2020,9,2991,0
218,03/09/2020,10,3094,0
219,04/09/2020,7,3037,0
220,05/09/2020,13,2543,0
221,06/09/2020,8,2442,0
222,07/09/2020,15,3862,0
223,08/09/2020,9,3300,0
224,09/09/2020,9,3328,0
225,10/09/2020,13,3577,0
226,11/09/2020,13,3285,0
227,12/09/2020,18,2656,0
228,13/09/2020,16,2129,0
229,14/09/2020,21,3383,0
230,15/09/2020,18,3538,0
231,16/09/2020,26,4346,0
232,17/09/2020,27,4620,0
233,18/09/2020,24,4956,0
234,19/09/2020,20,4850,0
235,20/09/2020,32,5314,0
236,21/09/2020,27,5600,0
237,22/09/2020,39,6399,0
238,23/09/2020,57,7053,0
239,24/09/2020,35,7599,0
240,25/09/2020,32,7238,0
241,26/09/2020,39,6750,0
242,27/09/2020,47,6968,0
243,28/09/2020,54,9922,0
244,29/09/2020,48,10232,0
245,30/09/2020,57,12556,0
246,01/10/2020,66,13184,0
247,02/10/2020,69,13687,0
248,03/10/2020,67,11531,0
249,04/10/2020,60,11801,0
250,05/10/2020,72,16545,0
251,06/10/2020,71,17052,0
252,07/10/2020,102,18317,0
253,08/10/2020,93,18234,0
254,09/10/2020,79,15716,0
255,10/10/2020,104,12504,0
256,11/10/2020,124,12066,0
257,12/10/2020,113,19427,0
258,13/10/2020,111,18881,0
259,14/10/2020,116,19693,0
260,15/10/2020,151,18429,0
261,16/10/2020,150,17715,0
262,17/10/2020,178,14750,0
263,18/10/2020,160,14193,0
264,19/10/2020,192,25604,0
265,20/10/2020,197,25322,0
266,21/10/2020,221,25438,0
267,22/10/2020,236,23233,0
268,23/10/2020,223,21460,0
269,24/10/2020,214,16229,0
270,25/10/2020,251,15719,0
271,26/10/2020,278,26538,0
272,27/10/2020,266,24087,0
273,28/10/2020,287,23605,0
274,29/10/2020,313,23349,0
275,30/10/2020,339,22655,0
276,31/10/2020,319,16477,0
277,01/11/2020,359,15747,0
278,02/11/2020,337,31507,0
279,03/11/2020,361,25576,0
280,04/11/2020,329,23672,0
281,05/11/2020,380,23744,0
282,06/11/2020,401,23321,0
283,07/11/2020,392,18518,0
284,08/11/2020,416,19952,0
285,09/11/2020,482,31042,0
286,10/11/2020,391,27409,0
287,11/11/2020,391,27355,0
288,12/11/2020,421,24460,0
289,13/11/2020,436,24036,0
290,14/11/2020,431,17985,0
291,15/11/2020,454,16024,0
292,16/11/2020,424,26573,0
293,17/11/2020,439,23164,0
294,18/11/2020,487,20750,0
295,19/11/2020,461,17755,0
296,20/11/2020,454,16844,0
297,21/11/2020,466,12350,0
298,22/11/2020,475,11734,0
299,23/11/2020,464,18769,0
300,24/11/2020,461,16454,0
301,25/11/2020,484,16615,0
302,26/11/2020,433,14568,0
303,27/11/2020,425,14368,0
304,28/11/2020,467,10961,0
305,29/11/2020,465,10682,0
306,30/11/2020,423,18014,0
307,01/12/2020,399,16451,0
308,02/12/2020,386,16465,0
309,03/12/2020,474,15630,0
310,04/12/2020,473,15661,0
311,05/12/2020,395,12734,0
312,06/12/2020,420,13579,0
313,07/12/2020,420,21323,0
314,08/12/2020,435,20781,0
315,09/12/2020,431,21605,0
316,10/12/2020,448,22599,0
317,11/12/2020,453,24059,0
318,12/12/2020,437,19352,0
319,13/12/2020,418,21984,0
320,14/12/2020,479,34702,0
321,15/12/2020,459,33846,0
322,16/12/2020,433,34904,0
323,17/12/2020,537,33875,0
324,18/12/2020,514,35824,0
325,19/12/2020,488,25135,0
326,20/12/2020,506,32440,0
327,21/12/2020,575,47358,0
328,22/12/2020,562,45653,0
329,23/12/2020,565,42170,0
330,24/12/2020,582,31808,0
