Date,Cases_Inside_NorthWest,Cases_UK
08/03/2020,5,65
09/03/2020,7,50
10/03/2020,15,52
11/03/2020,17,83
12/03/2020,40,134
13/03/2020,43,207
14/03/2020,25,264
15/03/2020,24,330
16/03/2020,56,152
17/03/2020,55,407
18/03/2020,84,676
19/03/2020,98,643
20/03/2020,83,714
21/03/2020,115,1035
22/03/2020,117,665
23/03/2020,175,967
24/03/2020,256,1427
25/03/2020,253,1452
26/03/2020,355,2129
27/03/2020,333,2890
28/03/2020,322,2556
29/03/2020,359,2502
30/03/2020,506,2665
31/03/2020,554,3250
01/04/2020,618,4567
02/04/2020,677,4522
03/04/2020,682,4672
04/04/2020,601,4000
05/04/2020,625,6199
06/04/2020,867,4143
07/04/2020,785,3888
08/04/2020,851,5865
09/04/2020,805,4675
10/04/2020,601,5706
11/04/2020,611,5234
12/04/2020,488,5288
13/04/2020,609,4342
14/04/2020,633,5252
15/04/2020,694,4605
16/04/2020,777,4618
17/04/2020,580,5599
18/04/2020,865,5526
19/04/2020,612,5850
20/04/2020,675,4676
21/04/2020,701,4301
22/04/2020,918,4451
23/04/2020,862,4583
24/04/2020,754,5386
25/04/2020,553,4913
26/04/2020,429,4463
27/04/2020,622,4310
28/04/2020,711,3996
29/04/2020,795,4076
30/04/2020,770,6032
01/05/2020,724,6201
02/05/2020,413,4806
03/05/2020,492,4339
04/05/2020,425,3985
05/05/2020,576,4406
06/05/2020,585,6111
07/05/2020,510,5614
08/05/2020,483,4649
09/05/2020,346,3896
10/05/2020,346,3923
11/05/2020,529,3877
12/05/2020,546,3403
13/05/2020,528,3242
14/05/2020,429,3446
15/05/2020,392,3560
16/05/2020,406,3451
17/05/2020,301,3562
18/05/2020,409,2684
