Date	Cases_Inside_NorthWest	Cases_UK
13/09/2020	611	3330
14/09/2020	1049	2621
15/09/2020	1066	3105
16/09/2020	1444	3991
17/09/2020	1404	3395
18/09/2020	1399	4322
19/09/2020	1506	4422
20/09/2020	1560	3899
21/09/2020	1476	4368
22/09/2020	1969	4926
23/09/2020	2155	6178
24/09/2020	2210	6634
25/09/2020	2212	6874
26/09/2020	2021	6042
27/09/2020	2242	5693
28/09/2020	2983	4044
29/09/2020	3162	7143
30/09/2020	3623	7108
01/10/2020	3590	6914
02/10/2020	3422	6968
03/10/2020	2944	12872
04/10/2020	2904	22961
05/10/2020	4337	12594
06/10/2020	4530	14542
07/10/2020	4358	14162
08/10/2020	4275	17540
09/10/2020	3743	13864
10/10/2020	2936	15166
11/10/2020	2931	12872
12/10/2020	4752	13972
13/10/2020	4275	17234
14/10/2020	4477	19724
15/10/2020	4174	18980
16/10/2020	3889	15650
17/10/2020	3587	16171
18/10/2020	3214	16982
19/10/2020	6157	18804
20/10/2020	5595	21331
21/10/2020	5548	26688
22/10/2020	4784	21242
23/10/2020	4478	20530
24/10/2020	3394	23012
25/10/2020	3279	19790
26/10/2020	5543	20890
27/10/2020	4938	22885
28/10/2020	4650	24701
29/10/2020	4543	23065
30/10/2020	4374	24405
31/10/2020	3142	21915
01/11/2020	3068	23254
02/11/2020	5929	18950
03/11/2020	4443	20018
04/11/2020	4086	25177
05/11/2020	3914	24141
06/11/2020	3857	23287
07/11/2020	2813	24957
08/11/2020	3179	20572
09/11/2020	4723	21350
10/11/2020	3899	20412
11/11/2020	3923	22950
12/11/2020	3427	33470
13/11/2020	3226	27301
14/11/2020	2377	26860
15/11/2020	2118	24962
16/11/2020	3372	21363
17/11/2020	3044	20051
18/11/2020	2580	19609
19/11/2020	2177	22915
20/11/2020	1980	20252
21/11/2020	1376	19875
22/11/2020	1383	18662
23/11/2020	2188	15450
