Date,Cases_Inside_NorthWest,Cases_UK
12/05/2021,451,2284
13/05/2021,354,2657
14/05/2021,404,2193
15/05/2021,354,2027
16/05/2021,412,1926
17/05/2021,631,1979
18/05/2021,693,2412
19/05/2021,551,2696
20/05/2021,549,2874
21/05/2021,525,2829
22/05/2021,461,2694
23/05/2021,535,2235
24/05/2021,891,2439
25/05/2021,908,2493
26/05/2021,1060,3180
27/05/2021,1032,3542
28/05/2021,974,4182
29/05/2021,843,3398
30/05/2021,868,3240
31/05/2021,1091,3383
01/06/2021,1603,3165
02/06/2021,1800,4330
03/06/2021,1839,5274
04/06/2021,1767,6238
05/06/2021,1384,5765
06/06/2021,1677,5341
07/06/2021,2352,5683
08/06/2021,2208,6048
09/06/2021,2223,7540
10/06/2021,2219,7393
11/06/2021,2100,8125
12/06/2021,1654,7738
13/06/2021,1953,7490
14/06/2021,2732,7742
15/06/2021,2821,7673
16/06/2021,2815,9055
17/06/2021,2774,11007
18/06/2021,2445,10476
19/06/2021,1978,10321
20/06/2021,2377,9284
21/06/2021,3579,10633
22/06/2021,3550,11625
23/06/2021,3653,16135
24/06/2021,3733,16703
25/06/2021,3366,15810
26/06/2021,2938,18270
27/06/2021,3286,14876
28/06/2021,5293,22868
29/06/2021,4873,20479
30/06/2021,4936,26068
01/07/2021,4813,27989
02/07/2021,4275,27125
03/07/2021,3559,24885
04/07/2021,3839,24248
05/07/2021,5157,27334
06/07/2021,5353,28773
07/07/2021,5809,32548
08/07/2021,5056,32551
09/07/2021,4790,35707
10/07/2021,3930,32367
11/07/2021,4238,31772
12/07/2021,6078,34471
13/07/2021,6489,36660
14/07/2021,7342,42302
15/07/2021,7932,48553
16/07/2021,7123,51870
17/07/2021,4887,54674
18/07/2021,4542,48161
19/07/2021,6169,39950
20/07/2021,5128,46558
21/07/2021,4332,44104
22/07/2021,3846,39906
