date	region	fips	infections	deaths
2020-03-02	Yorkshire and The Humber	5	9	1
2020-03-02	East of England	9	5	1
2020-03-03	East Midlands	1	14	1
2020-03-03	Yorkshire and The Humber	5	14	3
2020-03-03	South East	7	7	1
2020-03-03	East of England	9	12	1
2020-03-04	East Midlands	1	16	1
2020-03-04	Yorkshire and The Humber	5	16	3
2020-03-04	South East	7	10	1
2020-03-04	East of England	9	19	1
2020-03-05	East Midlands	1	19	1
2020-03-05	Yorkshire and The Humber	5	17	6
2020-03-05	South East	7	16	3
2020-03-05	East of England	9	20	1
2020-03-06	East Midlands	1	26	1
2020-03-06	Yorkshire and The Humber	5	18	6
2020-03-06	South East	7	18	3
2020-03-06	East of England	9	25	1
2020-03-07	East Midlands	1	31	1
2020-03-07	Yorkshire and The Humber	5	23	6
2020-03-07	South East	7	24	3
2020-03-07	East of England	9	28	1
2020-03-08	East Midlands	1	32	1
2020-03-08	North West	2	49	1
2020-03-08	Yorkshire and The Humber	5	26	9
2020-03-08	West Midlands	6	28	1
2020-03-08	South East	7	28	4
2020-03-08	East of England	9	30	1
2020-03-09	East Midlands	1	42	1
2020-03-09	North West	2	56	1
2020-03-09	London	4	181	2
2020-03-09	Yorkshire and The Humber	5	34	14
2020-03-09	West Midlands	6	36	2
2020-03-09	South East	7	36	5
2020-03-09	East of England	9	35	2
2020-03-10	East Midlands	1	54	1
2020-03-10	North West	2	71	1
2020-03-10	London	4	273	3
2020-03-10	Yorkshire and The Humber	5	52	17
2020-03-10	West Midlands	6	53	3
2020-03-10	South East	7	53	6
2020-03-10	East of England	9	51	2
2020-03-11	East Midlands	1	79	1
2020-03-11	North West	2	88	2
2020-03-11	London	4	456	6
2020-03-11	Yorkshire and The Humber	5	62	25
2020-03-11	West Midlands	6	82	4
2020-03-11	South East	7	82	7
2020-03-11	South West	8	81	1
2020-03-11	East of England	9	65	3
2020-03-12	East Midlands	1	96	2
2020-03-12	North West	2	128	2
2020-03-12	London	4	620	12
2020-03-12	Yorkshire and The Humber	5	76	1
2020-03-12	West Midlands	6	129	8
2020-03-12	South East	7	129	7
2020-03-12	South West	8	99	1
2020-03-12	East of England	9	83	3
2020-03-13	East Midlands	1	118	3
2020-03-13	North West	2	171	5
2020-03-13	London	4	754	18
2020-03-13	Yorkshire and The Humber	5	88	1
2020-03-13	West Midlands	6	168	11
2020-03-13	South East	7	168	9
2020-03-13	South West	8	129	1
2020-03-13	East of England	9	120	4
2020-03-14	East Midlands	1	137	4
2020-03-14	North West	2	196	7
2020-03-14	London	4	904	29
2020-03-14	Yorkshire and The Humber	5	100	1
2020-03-14	West Midlands	6	199	13
2020-03-14	South East	7	199	12
2020-03-14	South West	8	139	2
2020-03-14	East of England	9	136	4
2020-03-15	East Midlands	1	163	4
2020-03-15	North West	2	220	11
2020-03-15	North East	3	39	1
2020-03-15	London	4	1069	37
2020-03-15	Yorkshire and The Humber	5	109	3
2020-03-15	West Midlands	6	243	17
2020-03-15	South East	7	243	20
2020-03-15	South West	8	156	3
2020-03-15	East of England	9	171	6
2020-03-16	East Midlands	1	197	8
2020-03-16	North West	2	276	13
2020-03-16	North East	3	46	1
2020-03-16	London	4	1302	53
2020-03-16	Yorkshire and The Humber	5	137	5
2020-03-16	West Midlands	6	299	26
2020-03-16	South East	7	299	28
2020-03-16	South West	8	174	3
2020-03-16	East of England	9	195	8
2020-03-17	East Midlands	1	230	8
2020-03-17	North West	2	331	17
2020-03-17	North East	3	62	1
2020-03-17	London	4	1613	76
2020-03-17	Yorkshire and The Humber	5	168	7
2020-03-17	West Midlands	6	367	35
2020-03-17	South East	7	367	36
2020-03-17	South West	8	195	5
2020-03-17	East of England	9	234	10
2020-03-18	East Midlands	1	278	11
2020-03-18	North West	2	415	24
2020-03-18	North East	3	76	2
2020-03-18	London	4	1968	102
2020-03-18	Yorkshire and The Humber	5	215	9
2020-03-18	West Midlands	6	466	44
2020-03-18	South East	7	466	49
2020-03-18	South West	8	239	8
2020-03-18	East of England	9	308	13
2020-03-19	East Midlands	1	344	12
2020-03-19	North West	2	513	34
2020-03-19	North East	3	95	3
2020-03-19	London	4	2299	127
2020-03-19	Yorkshire and The Humber	5	270	10
2020-03-19	West Midlands	6	587	55
2020-03-19	South East	7	587	57
2020-03-19	South West	8	260	12
2020-03-19	East of England	9	366	18
2020-03-20	East Midlands	1	397	16
2020-03-20	North West	2	596	43
2020-03-20	North East	3	121	6
2020-03-20	London	4	2726	173
2020-03-20	Yorkshire and The Humber	5	329	12
2020-03-20	West Midlands	6	739	74
2020-03-20	South East	7	739	72
2020-03-20	South West	8	303	14
2020-03-20	East of England	9	439	20
2020-03-21	East Midlands	1	466	18
2020-03-21	North West	2	711	56
2020-03-21	North East	3	144	9
2020-03-21	London	4	3076	219
2020-03-21	Yorkshire and The Humber	5	406	14
2020-03-21	West Midlands	6	864	89
2020-03-21	South East	7	864	86
2020-03-21	South West	8	345	22
2020-03-21	East of England	9	513	29
2020-03-22	East Midlands	1	565	32
2020-03-22	North West	2	828	68
2020-03-22	North East	3	164	15
2020-03-22	London	4	3514	272
2020-03-22	Yorkshire and The Humber	5	500	16
2020-03-22	West Midlands	6	975	109
2020-03-22	South East	7	975	113
2020-03-22	South West	8	389	28
2020-03-22	East of England	9	603	42
2020-03-23	East Midlands	1	681	42
2020-03-23	North West	2	1003	89
2020-03-23	North East	3	222	18
2020-03-23	London	4	4201	328
2020-03-23	Yorkshire and The Humber	5	644	22
2020-03-23	West Midlands	6	1214	136
2020-03-23	South East	7	1214	139
2020-03-23	South West	8	451	37
2020-03-23	East of England	9	799	55
2020-03-24	East Midlands	1	816	56
2020-03-24	North West	2	1258	111
2020-03-24	North East	3	298	19
2020-03-24	London	4	4833	415
2020-03-24	Yorkshire and The Humber	5	801	29
2020-03-24	West Midlands	6	1464	161
2020-03-24	South East	7	1464	169
2020-03-24	South West	8	519	43
2020-03-24	East of England	9	963	78
2020-03-25	East Midlands	1	932	67
2020-03-25	North West	2	1511	134
2020-03-25	North East	3	374	24
2020-03-25	London	4	5593	534
2020-03-25	Yorkshire and The Humber	5	951	38
2020-03-25	West Midlands	6	1703	200
2020-03-25	South East	7	1703	208
2020-03-25	South West	8	623	53
2020-03-25	East of England	9	1151	100
2020-03-26	East Midlands	1	1088	85
2020-03-26	North West	2	1866	165
2020-03-26	North East	3	472	32
2020-03-26	London	4	6357	656
2020-03-26	Yorkshire and The Humber	5	1128	53
2020-03-26	West Midlands	6	2016	251
2020-03-26	South East	7	2016	253
2020-03-26	South West	8	739	64
2020-03-26	East of England	9	1366	134
2020-03-27	East Midlands	1	1225	106
2020-03-27	North West	2	2199	206
2020-03-27	North East	3	574	43
2020-03-27	London	4	7174	783
2020-03-27	Yorkshire and The Humber	5	1281	72
2020-03-27	West Midlands	6	2295	305
2020-03-27	South East	7	2295	300
2020-03-27	South West	8	867	77
2020-03-27	East of England	9	1609	172
2020-03-28	East Midlands	1	1381	129
2020-03-28	North West	2	2521	244
2020-03-28	North East	3	687	51
2020-03-28	London	4	7750	902
2020-03-28	Yorkshire and The Humber	5	1487	95
2020-03-28	West Midlands	6	2618	376
2020-03-28	South East	7	2618	342
2020-03-28	South West	8	969	98
2020-03-28	East of England	9	1792	208
2020-03-29	East Midlands	1	1509	154
2020-03-29	North West	2	2880	293
2020-03-29	North East	3	794	61
2020-03-29	London	4	8346	1045
2020-03-29	Yorkshire and The Humber	5	1715	122
2020-03-29	West Midlands	6	2984	446
2020-03-29	South East	7	2984	402
2020-03-29	South West	8	1070	121
2020-03-29	East of England	9	2000	257
2020-03-30	East Midlands	1	1715	178
2020-03-30	North West	2	3387	365
2020-03-30	North East	3	970	95
2020-03-30	London	4	9212	1195
2020-03-30	Yorkshire and The Humber	5	2001	152
2020-03-30	West Midlands	6	3415	521
2020-03-30	South East	7	3415	474
2020-03-30	South West	8	1235	148
2020-03-30	East of England	9	2301	309
2020-03-31	East Midlands	1	1992	215
2020-03-31	North West	2	3941	427
2020-03-31	North East	3	1180	120
2020-03-31	London	4	10146	1375
2020-03-31	Yorkshire and The Humber	5	2320	188
2020-03-31	West Midlands	6	3830	614
2020-03-31	South East	7	3830	544
2020-03-31	South West	8	1377	172
2020-03-31	East of England	9	2625	380
2020-04-01	East Midlands	1	2293	259
2020-04-01	North West	2	4559	523
2020-04-01	North East	3	1487	152
2020-04-01	London	4	11125	1564
2020-04-01	Yorkshire and The Humber	5	2635	230
2020-04-01	West Midlands	6	4239	722
2020-04-01	South East	7	4239	627
2020-04-01	South West	8	1560	196
2020-04-01	East of England	9	2958	455
2020-04-02	East Midlands	1	2505	305
2020-04-02	North West	2	5236	636
2020-04-02	North East	3	1706	184
2020-04-02	London	4	12194	1758
2020-04-02	Yorkshire and The Humber	5	2876	271
2020-04-02	West Midlands	6	4687	841
2020-04-02	South East	7	4687	708
2020-04-02	South West	8	1743	225
2020-04-02	East of England	9	3330	526
2020-04-03	East Midlands	1	2759	357
2020-04-03	North West	2	5920	748
2020-04-03	North East	3	1966	227
2020-04-03	London	4	13176	1950
2020-04-03	Yorkshire and The Humber	5	3150	323
2020-04-03	West Midlands	6	5060	927
2020-04-03	South East	7	5060	791
2020-04-03	South West	8	1935	257
2020-04-03	East of England	9	3683	611
2020-04-04	East Midlands	1	2948	410
2020-04-04	North West	2	6519	849
2020-04-04	North East	3	2220	273
2020-04-04	London	4	13943	2175
2020-04-04	Yorkshire and The Humber	5	3352	394
2020-04-04	West Midlands	6	5405	1034
2020-04-04	South East	7	5405	905
2020-04-04	South West	8	2109	298
2020-04-04	East of England	9	3952	681
2020-04-05	East Midlands	1	3097	470
2020-04-05	North West	2	7144	969
2020-04-05	North East	3	2442	319
2020-04-05	London	4	14575	2371
2020-04-05	Yorkshire and The Humber	5	3568	446
2020-04-05	West Midlands	6	5695	1151
2020-04-05	South East	7	5695	1008
2020-04-05	South West	8	2262	336
2020-04-05	East of England	9	4232	772
2020-04-06	East Midlands	1	3309	538
2020-04-06	North West	2	8013	1077
2020-04-06	North East	3	2817	364
2020-04-06	London	4	15432	2568
2020-04-06	Yorkshire and The Humber	5	3888	503
2020-04-06	West Midlands	6	6054	1251
2020-04-06	South East	7	6054	1110
2020-04-06	South West	8	2447	377
2020-04-06	East of England	9	4617	849
2020-04-07	East Midlands	1	3537	587
2020-04-07	North West	2	8797	1237
2020-04-07	North East	3	3167	406
2020-04-07	London	4	16383	2789
2020-04-07	Yorkshire and The Humber	5	4226	562
2020-04-07	West Midlands	6	6437	1350
2020-04-07	South East	7	6437	1229
2020-04-07	South West	8	2658	421
2020-04-07	East of England	9	5005	959
2020-04-08	East Midlands	1	3724	654
2020-04-08	North West	2	9650	1374
2020-04-08	North East	3	3455	451
2020-04-08	London	4	17256	3021
2020-04-08	Yorkshire and The Humber	5	4544	638
2020-04-08	West Midlands	6	6798	1485
2020-04-08	South East	7	6798	1340
2020-04-08	South West	8	2895	472
2020-04-08	East of England	9	5413	1074
2020-04-09	East Midlands	1	3957	717
2020-04-09	North West	2	10455	1505
2020-04-09	North East	3	3768	499
2020-04-09	London	4	18057	3219
2020-04-09	Yorkshire and The Humber	5	4849	708
2020-04-09	West Midlands	6	7143	1583
2020-04-09	South East	7	7143	1468
2020-04-09	South West	8	3141	503
2020-04-09	East of England	9	5739	1169
