Date,Cases_Inside_NorthWest,Cases_UK,firstdoses,seconddose,justonedose,propfirst,propsecond,adjustment,adjusted_Cases_Inside_NorthWest,adjusted_Cases_UK,,adjustment2
22/07/2021,3846,39906,46477881,36776201,9701680,0.14556159,0.55178096,0.405633871,1560.067865,16187.22523,,0.452665644
21/07/2021,4332,44104,46433845,36587904,9845941,0.147726047,0.548955799,0.407164005,1763.834469,17957.56127,,0.453835654
20/07/2021,5128,46558,46388744,36404566,9984178,0.14980012,0.546205041,0.408671199,2095.665907,19026.91367,,0.454993578
19/07/2021,6169,39950,46349709,36243287,10106422,0.151634239,0.543785251,0.40999206,2529.241016,16379.18279,,0.456006799
18/07/2021,4542,48161,46314039,36099727,10214312,0.153252993,0.541631313,0.411175009,1867.556893,19802.59963,,0.456916476
17/07/2021,4887,54674,46295853,35970849,10325004,0.154913788,0.539697659,0.412129031,2014.07457,22532.74259,,0.457616659
16/07/2021,7123,51870,46228636,35745635,10483001,0.157284336,0.536318605,0.414072657,2949.439535,21477.94871,,0.459138507
15/07/2021,7932,48553,46159145,35543321,10615824,0.159277179,0.533283136,0.415889719,3298.837252,20192.69353,,0.460582282
14/07/2021,7342,42302,46097464,35341428,10756036,0.161380885,0.530253983,0.417643196,3066.336339,17667.14244,,0.461958532
13/07/2021,6489,36660,46037090,35155767,10881323,0.16326066,0.527468372,0.419284187,2720.735089,15370.95829,,0.463254872
12/07/2021,6078,34471,45978017,34997491,10980526,0.164749077,0.525093638,0.42074246,2557.27267,14503.41333,,0.464424009
11/07/2021,4238,31772,45923721,34872131,11051590,0.165815304,0.523212768,0.42195604,1788.249697,13406.3873,,0.465413202
10/07/2021,3930,32367,45881721,34764511,11117210,0.16679985,0.521598065,0.422961897,1662.240257,13690.00773,,0.466223588
09/07/2021,4790,35707,45787958,34553065,11234893,0.168565536,0.518425581,0.425025875,2035.873939,15176.3989,,0.467910433
08/07/2021,5056,32551,45697875,34374246,11323629,0.169896909,0.515742626,0.426855539,2158.181606,13894.57465,,0.469427794
07/07/2021,5809,32548,45601445,34198779,11402666,0.171082761,0.513109962,0.4287136,2490.397301,13953.77024,,0.47098435
06/07/2021,5353,28773,45514492,34027302,11487190,0.172350938,0.510537164,0.430472578,2304.31971,12385.98749,,0.472444198
05/07/2021,5157,27334,45428681,33874176,11554505,0.173360915,0.5082397,0.432107006,2228.375831,11811.21291,,0.473816531
04/07/2021,3839,24248,45351719,33726362,11625357,0.174423961,0.506021935,0.433638921,1664.739817,10514.87655,,0.47509183
03/07/2021,3559,24885,45274497,33614952,11659545,0.174936909,0.504350368,0.434943461,1547.96378,10823.56804,,0.476214775
02/07/2021,4275,27125,45137108,33418743,11718365,0.17581943,0.501406497,0.437251789,1869.251401,11860.45479,,0.478204144
01/07/2021,4813,27989,45013503,33241265,11772238,0.176627727,0.498743661,0.439334541,2114.517145,12296.53446,,0.479997975
30/06/2021,4936,26068,44860978,33048199,11812779,0.177235994,0.495846947,0.441741153,2180.434332,11515.30838,,0.482101404
29/06/2021,4873,20479,44719762,32872450,11847312,0.177754119,0.493210053,0.443950408,2163.370343,9091.660426,,0.484036129
28/06/2021,5293,22868,44581771,32721762,11860009,0.177944621,0.490949167,0.44597658,2360.554037,10198.59243,,0.485837322
27/06/2021,3286,14876,44454511,32583746,11870765,0.178106002,0.48887841,0.447839174,1471.599526,6662.055555,,0.487494394
